期号,红球,蓝球
2012009,"04,16,24,26,27,33",11
2012010,"01,03,13,19,25,26",10
2012011,"04,14,15,16,20,26",5
2012012,"15,17,18,20,23,27",1
2012013,"06,08,24,29,30,32",13
2012014,"01,02,05,16,28,30",12
2012015,"01,03,06,10,21,23",15
2012016,"02,05,12,17,22,25",8
2012017,"06,09,14,19,25,28",10
2012018,"03,05,06,22,26,32",15
2012019,"07,14,18,20,22,30",16
2012020,"03,08,12,18,23,29",11
2012021,"01,15,16,18,22,30",3
2012022,"04,08,12,24,26,27",4
2012023,"05,09,15,23,24,33",2
2012024,"04,12,19,21,25,28",13
2012025,"03,08,09,17,25,27",6
2012026,"03,07,09,15,24,25",16
2012027,"04,16,22,25,30,31",12
2012028,"10,15,20,21,28,30",11
2012029,"04,07,15,25,26,28",3
2012030,"09,10,17,18,21,31",8
2012031,"04,16,22,24,27,31",3
2012032,"01,02,10,17,22,24",4
2012033,"02,03,15,16,17,27",4
2012034,"02,03,08,23,32,33",16
2012035,"09,11,12,21,24,26",5
2012036,"02,11,13,18,19,26",9
2012037,"05,14,19,24,28,33",9
2012038,"09,10,11,15,19,33",16
2012039,"01,02,05,13,22,29",8
2012040,"03,08,09,22,25,31",10
2012041,"08,11,15,20,24,32",2
2012042,"05,06,11,19,24,28",16
2012043,"02,09,11,21,26,33",3
2012044,"06,09,10,14,22,25",3
2012045,"08,11,20,21,27,30",9
2012046,"04,12,19,20,23,33",6
2012047,"06,07,11,16,32,33",11
2012048,"01,05,14,22,24,30",10
2012049,"04,12,13,19,20,32",2
2012050,"07,13,15,17,19,24",11
2012051,"02,12,14,17,30,31",9
2012052,"02,03,05,06,20,24",4
2012053,"04,15,22,25,27,33",4
2012054,"06,14,18,20,30,33",14
2012055,"04,06,13,20,24,28",1
2012056,"04,07,14,17,26,31",10
2012057,"03,05,19,21,27,31",4
2012058,"03,06,15,20,25,26",4
2012059,"04,13,21,22,26,31",1
2012060,"07,10,13,16,17,29",1
2012061,"03,08,11,12,14,18",14
2012062,"02,13,16,17,20,31",7
2012063,"02,10,17,19,24,27",12
2012064,"05,10,11,16,23,24",11
2012065,"08,10,18,19,27,31",14
2012066,"01,02,09,26,29,33",12
2012067,"04,05,10,21,26,30",16
2012068,"05,17,22,26,32,33",10
2012069,"08,10,11,18,20,29",6
2012070,"02,03,04,24,31,32",11
2012071,"03,04,19,21,22,23",8
2012072,"02,03,07,09,13,30",6
2012073,"04,07,09,10,17,27",5
2012074,"15,16,18,19,28,32",8
2012075,"04,06,22,23,29,32",11
2012076,"11,18,22,27,29,30",15
2012077,"02,04,13,18,26,28",12
2012078,"08,15,22,24,28,33",12
2012079,"06,07,12,24,30,33",12
2012080,"04,09,14,15,16,27",3
2012081,"02,05,10,24,25,29",6
2012082,"02,04,11,18,22,29",6
2012083,"04,09,14,15,26,33",4
2012084,"02,10,20,26,28,29",14
2012085,"05,17,24,30,31,33",5
2012086,"08,09,13,15,22,23",8
2012087,"03,10,11,13,14,22",9
2012088,"03,05,23,24,27,31",15
2012089,"03,07,10,13,14,25",11
2012090,"02,13,20,25,29,30",11
2012091,"01,05,07,08,19,21",16
2012092,"06,13,17,18,28,32",3
2012093,"03,05,19,21,24,33",13
2012094,"06,09,14,16,23,33",15
2012095,"17,24,27,28,29,30",2
2012096,"04,07,11,16,29,33",7
2012097,"05,08,13,14,19,22",6
2012098,"02,12,19,26,29,31",9
2012099,"08,12,15,16,21,27",16
2012100,"05,07,15,18,25,33",10
2012101,"09,12,17,18,20,33",2
2012102,"13,25,27,28,29,30",15
2012103,"04,09,11,14,32,33",2
2012104,"04,05,09,10,19,28",3
2012105,"06,13,14,15,17,30",4
2012106,"13,14,20,22,23,32",16
2012107,"11,12,15,24,25,31",9
2012108,"01,09,12,13,19,28",13
2012109,"02,12,24,26,29,31",3
2012110,"03,07,10,13,22,32",9
2012111,"02,09,10,20,22,31",13
2012112,"08,15,20,21,27,31",6
2012113,"03,06,09,13,18,32",6
2012114,"01,06,11,26,27,29",15
2012115,"03,08,20,24,26,32",14
2012116,"03,21,26,29,31,32",3
2012117,"13,15,18,20,24,28",9
2012118,"05,06,07,12,15,28",11
2012119,"12,20,25,26,27,28",13
2012120,"01,04,20,24,28,29",16
2012121,"01,07,08,20,23,24",11
2012122,"12,13,19,22,28,29",11
2012123,"08,10,16,25,28,33",9
2012124,"06,07,21,25,27,33",11
2012125,"08,12,13,26,29,33",1
2012126,"03,05,12,15,23,24",7
2012127,"01,09,11,21,26,32",8
2012128,"05,09,12,29,30,31",5
2012129,"01,07,09,17,21,29",1
2012130,"01,03,15,20,22,31",3
2012131,"06,18,19,26,28,32",12
2012132,"07,12,16,17,21,25",10
2012133,"01,08,11,20,21,29",2
2012134,"02,05,06,07,13,23",15
2012135,"02,05,07,08,11,17",16
2012136,"02,07,08,17,21,28",11
2012137,"01,02,04,06,13,17",7
2012138,"01,07,16,17,19,21",14
2012139,"08,19,21,24,28,31",15
2012140,"14,18,27,30,31,33",15
2012141,"03,05,08,19,20,27",9
2012142,"05,18,22,28,29,31",6
2012143,"07,08,18,25,30,32",6
2012144,"03,10,12,13,27,30",4
2012145,"05,20,26,27,28,33",3
2012146,"01,05,07,13,29,32",13
2012147,"02,12,15,23,24,32",9
2012148,"03,06,11,17,21,31",7
2012149,"01,05,13,25,26,32",13
2012150,"09,11,17,23,24,26",7
2012151,"05,14,24,25,26,32",1
2012152,"10,12,18,22,28,29",7
2012153,"04,05,11,21,27,28",10
2012154,"05,07,12,16,28,32",4
2013001,"06,08,14,15,24,25",6
2013002,"01,16,18,22,28,30",12
2013003,"22,23,26,27,28,33",9
2013004,"06,10,16,20,27,32",8
2013005,"01,13,14,25,31,32",12
2013006,"09,10,13,17,22,30",13
2013007,"02,09,15,22,26,32",1
2013008,"03,08,17,21,25,32",15
2013009,"01,04,09,13,16,23",2
2013010,"01,09,11,17,32,33",12
2013011,"03,12,17,24,27,29",9
2013012,"06,14,17,22,28,29",2
2013013,"05,06,13,19,22,28",9
2013014,"02,04,05,17,19,20",8
2013015,"05,06,07,11,13,18",15
2013016,"02,05,06,12,14,28",5
2013017,"04,06,12,30,31,32",9
2013018,"02,08,13,28,29,30",5
2013019,"01,02,05,16,20,26",6
2013020,"01,07,08,12,16,21",1
2013021,"01,06,17,19,26,31",11
2013022,"02,04,07,09,15,20",7
2013023,"03,06,15,18,30,32",5
2013024,"04,05,13,23,27,30",9
2013025,"16,17,18,24,25,30",8
2013026,"04,11,14,15,22,31",11
2013027,"01,02,04,12,21,24",12
2013028,"07,08,14,25,26,28",13
2013029,"06,07,10,19,23,29",12
2013030,"07,14,18,25,26,29",6
2013031,"03,13,14,15,21,33",3
2013032,"04,21,25,29,30,33",3
2013033,"05,06,13,17,19,28",1
2013034,"06,15,20,22,26,33",9
2013035,"01,14,15,17,26,30",2
2013036,"04,05,09,27,29,31",13
2013037,"02,15,18,27,28,32",14
2013038,"09,10,12,14,15,19",11
2013039,"01,02,14,15,24,29",6
2013040,"02,04,10,12,17,30",10
2013041,"02,10,12,17,23,24",5
2013042,"01,08,12,13,15,33",3
2013043,"03,06,14,15,17,25",16
2013044,"03,05,11,18,26,28",6
2013045,"06,07,08,14,23,31",12
2013046,"03,16,19,20,24,26",6
2013047,"01,08,11,17,27,30",12
2013048,"10,13,17,28,30,32",4
2013049,"10,13,14,16,21,32",14
2013050,"03,07,13,18,22,25",3
2013051,"08,12,15,19,28,29",2
2013052,"06,07,14,21,22,24",13
2013053,"03,12,13,22,30,33",14
2013054,"03,04,08,14,21,28",14
2013055,"08,18,19,22,27,32",6
2013056,"03,12,25,26,28,29",16
2013057,"13,16,19,23,26,28",5
2013058,"08,11,17,21,23,24",5
2013059,"03,10,18,24,27,29",9
2013060,"05,07,10,13,19,20",15
2013061,"05,06,07,12,13,18",12
2013062,"01,06,07,19,22,27",2
2013063,"10,15,18,20,23,31",12
2013064,"01,09,13,22,25,32",12
2013065,"07,18,19,23,29,30",2
2013066,"01,03,16,17,20,32",7
2013067,"01,04,09,15,22,30",6
2013068,"02,07,13,20,25,27",6
2013069,"07,16,17,18,30,33",6
2013070,"02,03,09,10,28,30",6
2013071,"05,12,21,23,26,28",9
2013072,"02,08,11,14,19,33",9
2013073,"02,09,13,17,20,28",11
2013074,"03,06,08,14,19,32",3
2013075,"04,06,09,25,30,33",14
2013076,"14,23,24,26,29,30",3
2013077,"09,14,23,24,26,29",3
2013078,"03,05,17,18,26,27",15
2013079,"07,13,17,19,22,26",13
2013080,"10,11,12,23,28,32",16
2013081,"01,04,10,13,21,31",13
2013082,"04,13,14,20,22,30",6
2013083,"05,06,12,14,19,23",9
2013084,"05,07,09,11,20,21",3
2013085,"02,08,12,14,16,32",16
2013086,"02,04,11,13,16,26",11
2013087,"02,13,19,23,24,28",5
2013088,"09,15,20,21,22,24",14
2013089,"04,08,12,19,21,25",13
2013090,"02,05,11,23,24,29",8
2013091,"04,14,24,25,28,31",10
2013092,"07,11,15,21,26,31",6
2013093,"01,02,08,26,29,31",14
2013094,"02,04,14,18,20,22",7
2013095,"01,06,15,19,28,29",10
2013096,"01,02,22,28,29,30",15
2013097,"05,14,17,22,23,25",7
2013098,"07,15,18,19,20,26",14
2013099,"05,11,20,21,26,31",3
